QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e3ab-0001-9dfc-0005-173a000160e2,SELECT SYSTEM$SHOW_IMPORTED_DATABASES(),,,,,SELECT,1432912759177226,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-24T10:51:51.673-08:00,2024-01-24T10:51:51.748-08:00,75,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,eac1112bdf943a7cac6593f08f056b72,2,eac1112bdf943a7cac6593f08f056b72,1
01b1e3f7-0001-9d30-0005-173a00013102,SELECT SYSTEM$SHOW_APPLICATION_INSTANCES(),,,,,SELECT,1432912759177234,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-24T12:07:07.552-08:00,2024-01-24T12:07:07.614-08:00,62,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ff351d19bd17492cd9e6e7eb88841803,2,ff351d19bd17492cd9e6e7eb88841803,1
01b1e326-0001-9d98-0005-173a00017082,SELECT CURRENT_AVAILABLE_ROLES(),,,,,SELECT,1432912759189522,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T08:38:29.078-08:00,2024-01-24T08:38:29.167-08:00,89,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c93d77562440fdc9ec401ca52264d315,2,c93d77562440fdc9ec401ca52264d315,1
01b1e3ab-0001-9d30-0005-173a000130da,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,1432912759189538,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T10:51:51.688-08:00,2024-01-24T10:51:51.722-08:00,34,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b1e30b-0001-9d98-0005-173a0001703e,SELECT CURRENT_ORGANIZATION_ID(),,,,,SELECT,1432912759181346,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T08:11:56.837-08:00,2024-01-24T08:11:56.87-08:00,33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,dbfe3a72e1875b2ebff0d3c42b705002,2,dbfe3a72e1875b2ebff0d3c42b705002,1
01b1e30b-0001-9dfc-0005-173a00016072,"SELECT CURRENT_AVAILABLE_ROLES() as ""name""",,,,,SELECT,1432912759181346,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-24T08:11:56.873-08:00,2024-01-24T08:11:56.961-08:00,88,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,84,4,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,0fe54efb178617f9a0f6f77572d84dce,2,0fe54efb178617f9a0f6f77572d84dce,1
01b1e835-0001-9d98-0005-173a000171ee,SELECT SYSTEM$SHOW_APPLICATION_INSTANCES(),,,,,SELECT,1432912759185478,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:13:26.486-08:00,2024-01-25T06:13:26.528-08:00,42,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ff351d19bd17492cd9e6e7eb88841803,2,ff351d19bd17492cd9e6e7eb88841803,1
01b1e842-0001-9d84-0005-173a000190aa,SELECT ALL_USER_NAMES(),,,,,SELECT,1432912759185474,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:26:49.355-08:00,2024-01-25T06:26:49.552-08:00,197,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,196,1,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,8e372086ea7cc91ab433fd18f6c621c2,2,8e372086ea7cc91ab433fd18f6c621c2,1
01b1e835-0001-9d95-0005-173a00014206,SELECT SYSTEM$ARE_ANACONDA_TERMS_ACKNOWLEDGED(),,,,,SELECT,1432912759185474,ARNASJ,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:13:28.778-08:00,2024-01-25T06:13:28.841-08:00,63,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,31981ff6f0eaac8163c86069383985c6,2,31981ff6f0eaac8163c86069383985c6,1
01b1e837-0001-9d95-0005-173a0001420a,SELECT CURRENT_AVAILABLE_ROLES(),,,,,SELECT,1432912759185470,ARNASJ,PUBLIC,,,,,,,SUCCESS,,,2024-01-25T06:15:51.454-08:00,2024-01-25T06:15:51.698-08:00,244,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,232,12,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,c93d77562440fdc9ec401ca52264d315,2,c93d77562440fdc9ec401ca52264d315,1
